Name,IQ,GPA,Placement
Student139,123,2.38,0
Student140,85,2.61,0
Student141,116,3.56,1
Student142,100,2.38,1
Student143,137,2.68,1
Student144,132,3.42,0
Student145,112,2.74,0
Student146,130,3.16,1
Student147,98,3.35,1
Student148,109,2.87,1
Student149,93,3.51,1
Student150,128,2.68,0
Student151,120,3.97,0
Student152,144,3.73,1
Student153,115,2.78,0
Student154,94,3.54,0
Student155,113,2.54,1
Student156,97,3.91,0
Student157,100,2.61,1
Student158,116,2.94,1
Student159,96,3.66,0
Student160,127,3.22,0
Student161,113,2.64,1
Student162,147,3.56,1
Student163,111,3.63,1
Student164,100,2.71,0
Student165,120,2.03,1
Student166,95,3.63,0
Student167,107,2.56,1
Student168,134,3.39,0
Student169,149,2.89,1
Student170,110,3.87,0
Student171,133,2.66,1
Student172,126,3.33,1
Student173,138,2.56,1
Student174,128,3.69,1
Student175,123,3.11,0
Student176,125,2.99,1
Student177,130,2.6,0
Student178,132,3.61,0
Student179,125,2.75,1
Student180,128,2.02,1
Student181,83,2.8,0
Student182,147,2.08,0
Student183,120,2.67,1
Student184,83,2.62,0
Student185,120,2.16,1
Student186,91,3.87,0
Student187,94,3.49,0
Student188,120,2.31,1
Student189,105,2.52,1
Student190,117,3.8,1
Student191,107,2.86,1
Student192,83,3.61,0
Student193,124,3.03,1
Student194,124,2.88,1
Student195,102,3.7,1
Student196,118,2.1,1
Student197,148,2.53,0
Student198,86,3.34,1
Student199,119,2.17,0
Student200,147,2.73,0
Student201,135,2.03,1
Student202,100,2.22,0
Student203,83,2.17,1
Student204,143,2.71,1
Student205,120,3.54,1
Student206,96,2.49,1
Student207,115,2.38,1
Student208,89,2.61,1
Student209,138,2.72,1
Student210,105,2.22,0
Student211,144,2.15,1
Student212,104,2.95,0
Student213,150,2.05,0
Student214,143,3.93,0
Student215,88,2.41,1
Student216,88,2.22,1
Student217,148,3.87,0
Student218,105,2.95,1
Student219,95,2.38,1
Student220,119,2.56,0
Student221,99,3.32,1
Student222,118,2.83,1
Student223,118,2.65,0
Student224,119,2.88,1
Student225,82,3.16,1
Student226,89,2.21,1
Student227,125,3.37,0
Student228,123,3.1,1
Student229,137,2.53,0
Student230,147,2.47,0
Student231,131,2.0,0
Student232,116,3.54,1
Student233,84,2.92,0
Student234,138,2.68,0
Student235,139,2.85,0
Student236,109,2.01,0
Student237,82,2.27,1
Student238,146,3.89,0
Student239,92,2.88,1
Student240,85,2.54,1
Student241,111,3.4,0
Student242,131,2.65,0
Student243,136,3.36,0
Student244,126,3.44,1
Student245,138,3.5,0
Student246,123,2.28,1
Student247,113,2.89,1
Student248,141,3.42,0
Student249,145,2.68,1
Student250,119,2.12,0
Student251,118,2.45,1
Student252,142,3.19,1
Student253,100,3.3,1
Student254,134,2.47,1
Student255,145,3.72,0
Student256,85,2.94,0
Student257,115,2.03,1
Student258,138,2.01,1
Student259,131,2.83,1
Student260,118,2.42,0
Student261,104,3.04,0
Student262,128,3.79,1
Student263,148,3.44,1
Student264,150,2.8,1
Student265,119,3.42,0
Student266,104,3.88,1
Student267,123,3.44,1
Student268,116,2.48,1
Student269,109,2.26,1
Student270,89,2.71,0
Student271,93,2.08,1
Student272,116,3.33,1
Student273,121,2.21,1
Student274,103,3.42,1
Student275,132,3.75,1
Student276,128,3.59,0
Student277,146,3.95,0
Student278,142,3.32,0
Student279,139,3.87,1
Student280,146,2.76,1
Student281,110,2.7,0
Student282,101,2.32,0
Student283,125,2.96,0
Student284,140,3.36,1
Student285,122,3.37,0
Student286,100,2.54,0
Student287,99,2.93,0
Student288,120,3.53,0
Student289,109,2.94,1
Student290,138,3.07,1
Student291,107,3.55,1
Student292,89,3.94,0
Student293,91,3.51,0
Student294,125,2.99,0
Student295,136,2.24,1
Student296,108,3.01,1
Student297,92,3.87,0
Student298,107,3.3,0
Student299,139,2.58,0
Student300,82,2.59,0
Student301,96,3.29,0
Student302,110,2.29,1
Student303,112,2.81,1
Student304,129,2.77,1
Student305,84,3.84,0
Student306,106,2.36,0
Student307,131,3.95,0
Student308,145,2.55,1
Student309,94,3.35,1
Student310,130,2.63,1
Student311,128,3.71,0
Student312,133,3.25,0
Student313,127,3.66,0
Student314,112,3.91,1
Student315,138,2.91,0
Student316,99,2.22,1
Student317,104,2.92,1
Student318,126,2.86,0
Student319,107,2.06,1
Student320,128,2.32,0
Student321,115,2.37,0
Student322,85,2.66,0
Student323,145,3.81,0
Student324,87,2.4,0
Student325,131,2.08,0
Student326,87,2.66,0
Student327,139,3.27,0
Student328,110,2.63,1
Student329,87,3.29,0
Student330,80,2.52,1
Student331,135,3.72,1
Student332,150,3.77,0
Student333,147,2.15,0
Student334,99,3.17,0
Student335,132,3.33,0
Student336,93,3.91,1
Student337,89,2.28,1
Student338,92,3.19,0
Student339,130,2.92,0
Student340,95,2.63,1
Student341,89,3.37,1
Student342,117,2.61,1
Student343,82,3.32,0
Student344,149,3.12,1
Student345,146,3.51,1
Student346,89,3.66,0
Student347,104,3.41,1
Student348,140,2.66,0
Student349,83,2.41,1
Student350,141,2.62,0
Student351,110,3.35,0
Student352,80,2.86,0
Student353,91,3.79,0
Student354,89,2.93,1
Student355,87,3.04,1
Student356,88,2.61,0
Student357,94,3.48,0
Student358,145,3.78,1
Student359,93,3.71,0
Student360,107,2.35,1
Student361,109,3.39,1
Student362,143,3.24,1
Student363,110,2.46,0
Student364,121,3.1,0
Student365,83,2.96,0
Student366,129,3.21,0
Student367,121,2.93,0
Student368,142,3.78,0
Student369,112,2.5,0
Student370,134,3.08,0
Student371,132,2.93,0
Student372,126,3.13,1
Student373,122,2.44,0
Student374,80,2.83,1
Student375,82,2.43,0
Student376,81,2.7,0
Student377,111,3.29,1
Student378,103,2.36,0
Student379,144,2.0,1
Student380,111,3.18,1
Student381,109,3.12,1
Student382,133,3.7,1
Student383,84,2.03,0
Student384,126,2.03,0
Student385,128,2.86,0
Student386,135,3.13,0
Student387,82,3.26,1
Student388,137,2.09,0
Student389,108,3.44,1
Student390,148,2.12,1
Student391,142,2.21,0
Student392,149,3.13,1
Student393,108,3.74,1
Student394,107,3.2,0
Student395,122,3.05,1
Student396,131,3.6,1
Student397,120,2.13,1
Student398,137,3.14,0
Student399,149,3.03,1
Student400,111,2.48,1
Student401,93,2.85,0
Student402,90,3.68,0
Student403,136,3.64,0
Student404,96,3.74,1
Student405,147,3.77,0
Student406,98,3.63,1
Student407,100,2.54,1
Student408,106,2.28,1
Student409,128,2.73,1
Student410,147,2.99,1
Student411,124,3.93,1
Student412,105,2.55,0
Student413,101,3.31,0
Student414,115,3.72,0
Student415,83,3.02,1
Student416,141,3.87,1
Student417,81,2.72,0
Student418,136,2.0,1
Student419,111,3.29,1
Student420,93,2.17,1
Student421,118,2.71,1
Student422,131,3.19,0
Student423,145,3.73,1
Student424,125,3.34,1
Student425,100,2.65,1
Student426,148,3.74,0
Student427,126,3.71,0
Student428,82,2.68,0
Student429,137,2.34,0
Student430,85,3.15,0
Student431,91,3.53,0
Student432,126,2.11,1
Student433,104,3.34,1
Student434,82,2.39,1
Student435,128,2.47,0
Student436,116,2.74,0
Student437,87,2.47,1
Student438,130,2.35,0
Student439,120,2.77,1
Student440,119,3.38,1
Student441,135,3.18,1
Student442,98,2.75,0
Student443,112,3.37,1
Student444,81,2.95,1
Student445,84,2.06,0
Student446,84,2.85,1
Student447,134,3.68,1
Student448,113,2.42,1
Student449,143,3.21,1
Student450,125,2.84,1
Student451,145,3.56,0
Student452,130,3.71,0
Student453,96,3.17,1
Student454,128,3.91,1
Student455,93,2.26,1
Student456,84,3.95,1
Student457,128,2.65,1
Student458,136,2.21,1
Student459,118,3.38,1
Student460,141,2.62,1
Student461,81,3.35,0
Student462,99,2.08,0
Student463,92,2.08,0
Student464,116,2.45,1
Student465,121,2.65,1
Student466,118,3.67,0
Student467,84,3.57,1
Student468,112,3.96,0
Student469,92,3.95,0
Student470,105,2.01,0
Student471,102,2.0,0
Student472,126,2.27,1
Student473,118,2.04,0
Student474,97,2.01,1
Student475,87,3.39,1
Student476,130,2.33,1
Student477,91,2.71,1
Student478,108,3.52,0
Student479,139,2.33,1
Student480,145,3.05,1
Student481,82,2.02,1
Student482,143,2.31,0
Student483,106,2.56,0
Student484,114,2.51,0
Student485,122,3.76,1
Student486,117,3.62,1
Student487,115,2.2,0
Student488,138,2.44,1
Student489,80,3.87,1
Student490,122,3.15,0
Student491,119,3.77,1
Student492,120,3.28,1
Student493,94,3.73,1
Student494,116,2.51,1
Student495,112,3.87,0
Student496,123,2.85,0
Student497,138,2.71,0
Student498,82,2.42,1
Student499,98,3.12,0
Student500,100,3.7,0
Student501,94,3.94,0
Student502,94,3.11,1
Student503,117,2.38,1
Student504,134,2.82,1
Student505,110,2.0,0
Student506,99,3.03,1
Student507,119,2.98,1
Student508,97,3.5,1
Student509,144,2.43,1
Student510,145,3.02,1
Student511,127,3.31,0
Student512,112,3.81,1
Student513,94,3.03,0
Student514,90,3.38,1
Student515,150,2.53,0
Student516,84,3.76,0
Student517,133,2.83,1
Student518,144,2.74,1
Student519,112,3.14,0
Student520,104,2.6,1
Student521,119,2.35,1
Student522,122,3.25,0
Student523,93,3.03,1
Student524,107,3.1,1
Student525,134,3.88,0
Student526,143,2.78,0
Student527,147,2.54,0
Student528,105,3.77,0
Student529,96,3.19,0
Student530,120,2.86,1
Student531,147,3.13,0
Student532,86,3.68,1
Student533,89,3.89,1
Student534,94,3.16,0
Student535,108,2.43,1
Student536,113,2.96,1
Student537,144,3.39,1
Student538,92,3.31,1
Student539,117,3.43,1
Student540,143,3.98,0
Student541,127,3.87,1
Student542,86,2.34,0
Student543,142,3.87,1
Student544,98,2.1,0
Student545,96,2.71,1
Student546,98,2.66,1
Student547,130,3.75,0
Student548,138,2.16,1
Student549,146,2.42,0
Student550,107,3.56,1
Student551,120,2.27,0
Student552,114,3.2,1
Student553,94,3.27,1
Student554,91,3.24,1
Student555,101,2.89,1
Student556,142,2.79,0
Student557,99,3.88,1
Student558,131,3.52,1
Student559,123,3.16,0
Student560,87,3.37,0
Student561,109,2.53,0
Student562,96,2.97,1
Student563,112,2.83,0
Student564,99,2.83,0
Student565,120,3.72,1
Student566,148,2.11,0
Student567,123,3.36,0
Student568,142,3.09,0
Student569,101,2.32,0
Student570,106,2.89,0
Student571,112,2.44,0
Student572,125,2.2,1
Student573,90,3.33,0
Student574,87,2.52,0
Student575,96,3.09,0
Student576,119,2.62,1
Student577,149,3.5,1
Student578,112,3.27,1
Student579,114,3.02,0
Student580,128,3.85,1
Student581,138,3.7,0
Student582,98,3.33,0
Student583,149,3.46,1
Student584,136,2.92,0
Student585,113,2.03,0
Student586,83,2.49,1
Student587,121,2.61,1
Student588,115,3.57,0
Student589,86,2.13,0
Student590,111,3.11,0
Student591,105,2.53,0
Student592,106,2.37,0
Student593,136,3.79,1
Student594,112,2.82,0
Student595,96,3.46,0
Student596,141,2.62,1
Student597,83,3.52,0
Student598,150,2.44,1
Student599,104,3.48,0
Student600,114,2.82,1
Student601,121,2.17,1
Student602,121,3.24,0
Student603,111,2.43,0
Student604,144,3.73,1
Student605,118,3.67,0
Student606,140,2.09,1
Student607,128,2.1,1
Student608,92,3.86,0
Student609,88,2.02,1
Student610,122,2.58,0
Student611,88,2.97,0
Student612,97,2.12,1
Student613,89,3.9,1
Student614,96,2.67,1
Student615,97,2.85,0
Student616,123,2.24,0
Student617,99,3.14,1
Student618,143,2.42,1
Student619,82,3.66,1
Student620,108,3.9,1
Student621,85,3.19,0
Student622,126,3.98,0
Student623,150,2.07,1
Student624,111,2.03,0
Student625,103,3.14,0
Student626,94,3.79,0
Student627,134,2.67,0
Student628,124,2.17,0
Student629,107,3.87,1
Student630,108,2.21,0
Student631,138,3.14,1
Student632,87,2.77,0
Student633,143,3.29,0
Student634,104,3.32,1
Student635,93,3.54,0
Student636,141,2.99,0
Student637,97,2.9,0
Student638,100,3.7,0
Student639,118,3.87,0
Student640,120,3.8,1
Student641,108,2.42,0
Student642,110,3.23,1
Student643,120,2.97,1
Student644,118,3.34,1
Student645,81,2.35,0
Student646,144,2.03,1
Student647,83,3.22,0
Student648,122,2.74,1
Student649,115,3.42,0
Student650,111,3.82,1
Student651,149,3.49,0
Student652,115,2.35,0
Student653,113,3.62,0
Student654,98,2.12,0
Student655,139,2.95,0
Student656,105,2.33,1
Student657,137,3.52,1
Student658,100,3.17,1
Student659,117,2.08,1
Student660,81,3.53,1
Student661,80,3.77,0
Student662,133,3.0,0
Student663,113,3.91,0
Student664,122,3.96,0
Student665,122,2.55,0
Student666,87,3.93,1
Student667,98,3.87,0
Student668,124,3.93,1
Student669,126,2.86,1
Student670,94,3.36,0
Student671,146,3.04,1
Student672,143,3.73,0
Student673,107,2.66,0
Student674,82,2.41,0
Student675,127,3.2,1
Student676,148,2.37,0
Student677,148,3.4,1
Student678,127,2.82,1
Student679,118,2.42,0
Student680,95,2.93,0
Student681,111,3.21,0
Student682,90,3.2,0
Student683,142,3.95,0
Student684,95,3.49,1
Student685,142,2.55,1
Student686,81,3.24,1
Student687,85,2.11,0
Student688,118,2.93,1
Student689,98,3.49,0
Student690,123,3.43,1
Student691,124,2.55,1
Student692,122,3.26,1
Student693,87,2.65,0
Student694,140,4.0,0
Student695,130,2.27,1
Student696,109,2.64,0
Student697,118,2.15,0
Student698,98,2.85,1
Student699,128,2.55,0
Student700,122,2.35,1
Student701,99,3.46,1
Student702,145,2.98,1
Student703,83,3.21,1
Student704,133,2.93,0
Student705,131,3.65,0
Student706,87,2.26,0
Student707,98,3.43,1
Student708,98,3.76,1
Student709,115,3.14,0
Student710,86,2.37,0
Student711,106,3.18,1
Student712,133,3.65,0
Student713,86,3.71,0
Student714,111,3.2,1
Student715,148,3.54,0
Student716,149,2.42,0
Student717,81,2.51,0
Student718,87,2.49,0
Student719,98,3.81,1
Student720,128,2.88,1
Student721,135,3.08,1
Student722,148,3.3,1
Student723,139,2.37,1
Student724,80,3.98,1
Student725,136,3.44,0
Student726,123,3.53,1
Student727,104,2.54,0
Student728,126,3.89,0
Student729,110,3.2,0
Student730,92,2.37,1
Student731,92,3.28,1
Student732,108,3.65,1
Student733,147,3.04,1
Student734,88,3.13,0
Student735,148,3.73,0
Student736,86,3.45,1
Student737,137,2.98,0
Student738,93,3.99,0
Student739,121,3.91,1
Student740,127,3.05,0
Student741,131,3.74,1
Student742,81,3.97,1
Student743,83,3.73,1
Student744,119,2.79,1
Student745,111,2.75,1
Student746,89,3.94,0
Student747,149,3.26,1
Student748,104,2.35,1
Student749,127,2.35,1
Student750,137,3.98,0
Student751,128,3.71,1
Student752,130,2.58,0
Student753,132,3.08,1
Student754,89,3.19,1
Student755,84,3.84,1
Student756,84,3.27,1
Student757,116,2.5,0
Student758,117,3.19,0
Student759,85,2.06,0
Student760,118,2.07,1
Student761,90,3.09,1
Student762,85,3.96,1
Student763,89,2.58,1
Student764,142,3.73,1
Student765,130,3.86,1
Student766,110,3.58,1
Student767,131,3.91,0
Student768,117,2.45,1
Student769,123,3.5,0
Student770,84,3.96,0
Student771,140,2.56,1
Student772,89,3.21,1
Student773,85,2.54,1
Student774,114,2.79,0
Student775,99,3.68,0
Student776,82,2.79,0
Student777,138,3.41,1
Student778,106,2.53,0
Student779,103,2.11,0
Student780,139,2.54,1
Student781,120,3.24,1
Student782,105,2.61,1
Student783,106,3.79,0
Student784,141,3.28,1
Student785,101,3.66,0
Student786,93,3.02,1
Student787,97,3.0,0
Student788,128,3.09,1
Student789,131,2.51,0
Student790,134,2.93,0
Student791,128,2.3,1
Student792,136,3.92,0
Student793,111,3.67,0
Student794,88,2.08,1
Student795,94,2.76,0
Student796,104,3.35,1
Student797,102,2.64,0
Student798,126,3.15,1
Student799,100,3.84,1
Student800,92,2.94,0
Student801,88,2.42,1
Student802,135,2.6,1
Student803,148,3.91,1
Student804,129,2.08,1
Student805,84,2.08,0
Student806,92,3.58,0
Student807,136,2.71,0
Student808,121,2.34,1
Student809,116,3.78,0
Student810,89,3.96,0
Student811,87,2.89,0
Student812,141,2.92,0
Student813,95,2.06,1
Student814,107,3.03,0
Student815,113,3.61,0
Student816,149,2.75,1
Student817,144,2.3,0
Student818,139,2.44,1
Student819,124,2.16,0
Student820,140,2.75,1
Student821,94,3.69,1
Student822,139,2.26,1
Student823,80,2.88,0
Student824,130,3.38,1
Student825,86,2.06,0
Student826,147,3.49,0
Student827,106,3.25,1
Student828,121,2.8,0
Student829,149,3.51,1
Student830,130,3.53,1
Student831,88,2.37,0
Student832,80,2.97,0
Student833,130,2.96,0
Student834,110,3.53,1
Student835,114,2.47,0
Student836,100,3.35,0
Student837,144,2.84,0
Student838,81,2.03,1
Student839,120,2.76,0
Student840,87,3.43,1
Student841,92,3.95,0
Student842,94,3.18,1
Student843,123,2.45,0
Student844,105,2.1,0
Student845,82,2.69,1
Student846,127,2.04,0
Student847,118,2.78,0
Student848,126,2.32,0
Student849,139,3.75,0
Student850,80,2.41,1
Student851,149,2.22,1
Student852,108,3.05,0
Student853,88,3.95,0
Student854,87,2.53,1
Student855,93,2.76,0
Student856,150,3.6,0
Student857,88,2.35,1
Student858,141,2.17,0
Student859,131,2.78,1
Student860,145,2.79,1
Student861,147,3.69,1
Student862,114,3.6,0
Student863,82,2.48,0
Student864,110,2.5,1
Student865,117,2.12,0
Student866,126,3.09,0
Student867,130,3.56,0
Student868,81,3.9,1
Student869,112,3.34,1
Student870,91,3.16,0
Student871,81,3.01,1
Student872,91,3.31,0
Student873,147,3.08,1
Student874,111,3.22,1
Student875,140,3.4,1
Student876,81,3.98,0
Student877,111,3.03,1
Student878,83,2.34,0
Student879,83,2.12,0
Student880,150,2.28,0
Student881,90,3.75,0
Student882,130,3.4,1
Student883,145,3.27,1
Student884,105,3.51,1
Student885,149,2.06,1
Student886,124,2.76,1
Student887,91,2.84,1
Student888,99,2.89,1
Student889,148,2.94,1
Student890,134,3.4,1
Student891,109,2.8,1
Student892,101,2.86,0
Student893,138,2.22,1
Student894,142,3.34,0
Student895,113,2.83,1
Student896,144,2.6,0
Student897,94,2.39,0
Student898,83,2.89,0
Student899,143,2.63,0
Student900,107,2.37,1
Student901,111,3.71,1
Student902,139,2.06,1
Student903,112,2.51,1
Student904,101,2.31,0
Student905,145,2.13,0
Student906,124,2.1,0
Student907,140,2.39,1
Student908,131,2.03,0
Student909,85,3.91,1
Student910,84,2.17,1
Student911,140,2.76,0
Student912,142,3.46,1
Student913,126,2.87,0
Student914,136,3.35,0
Student915,149,3.03,0
Student916,86,2.37,1
Student917,105,3.22,1
Student918,82,3.73,0
Student919,85,3.17,0
Student920,118,2.02,1
Student921,103,2.51,0
Student922,145,2.69,1
Student923,148,2.54,1
Student924,124,2.42,1
Student925,94,3.02,0
Student926,145,3.99,1
Student927,109,2.27,0
Student928,93,3.78,0
Student929,92,2.27,1
Student930,106,2.45,0
Student931,106,2.26,0
Student932,105,2.72,0
Student933,137,3.0,0
Student934,138,2.06,1
Student935,145,2.03,1
Student936,90,3.86,0
Student937,127,2.3,0
Student938,90,2.0,0
Student939,107,3.57,1
Student940,129,2.6,0
Student941,113,2.02,0
Student942,101,2.35,0
Student943,131,3.17,0
Student944,131,3.24,1
Student945,90,3.79,0
Student946,90,2.27,1
Student947,96,3.19,0
Student948,136,3.96,0
Student949,118,2.1,0
Student950,110,3.86,0
Student951,107,2.06,1
Student952,140,3.83,0
Student953,83,3.47,0
Student954,140,2.29,1
Student955,114,3.41,0
Student956,121,2.53,0
Student957,133,3.72,1
Student958,129,2.31,1
Student959,100,3.42,1
Student960,88,2.18,1
Student961,138,3.93,0
Student962,100,2.86,0
Student963,89,2.4,1
Student964,93,2.36,1
Student965,82,3.13,0
Student966,115,2.12,0
Student967,97,2.29,1
Student968,115,3.45,0
Student969,124,2.32,0
Student970,100,2.29,1
Student971,109,2.68,1
Student972,87,2.35,1
Student973,121,3.09,1
Student974,136,3.37,1
Student975,99,3.77,1
Student976,87,3.16,1
Student977,149,2.05,0
Student978,111,3.38,0
Student979,81,3.72,0
Student980,97,2.66,1
Student981,83,2.61,0
Student982,109,2.2,0
Student983,131,2.5,0
Student984,98,2.01,1
Student985,131,3.91,0
Student986,97,2.4,1
Student987,150,2.25,0
Student988,149,2.32,0
Student989,89,3.77,0
Student990,119,2.61,1
Student991,111,3.81,1
Student992,120,2.96,1
Student993,132,2.6,0
Student994,102,3.84,1
Student995,83,3.38,0
Student996,150,2.35,1
Student997,91,2.18,0
Student998,117,3.25,0
Student999,131,2.97,1
Student1000,95,3.78,1
Student1001,150,2.93,1
Student1002,116,2.65,1
Student1003,121,2.13,0
Student1004,103,3.7,0
Student1005,136,3.6,1
Student1006,125,2.12,1
Student1007,130,2.47,1
Student1008,83,3.94,0
Student1009,109,3.54,1
Student1010,112,3.47,1
Student1011,112,3.01,0
Student1012,96,3.74,0
Student1013,107,2.72,0
Student1014,117,3.57,0
Student1015,91,3.46,1
Student1016,118,2.61,1
Student1017,113,3.68,1
Student1018,94,2.15,1
Student1019,98,2.0,0
Student1020,148,2.65,0
Student1021,129,2.2,1
Student1022,85,2.71,1
Student1023,97,3.45,0
Student1024,84,2.42,1
Student1025,95,2.96,0
Student1026,92,3.05,0
Student1027,124,2.29,0
Student1028,99,3.93,1
Student1029,88,3.59,0
Student1030,147,2.37,1
Student1031,111,3.67,1
Student1032,126,3.98,0
Student1033,97,2.17,0
Student1034,134,3.31,0
Student1035,88,3.59,0
Student1036,88,2.68,0
Student1037,123,2.33,1
Student1038,123,3.58,1
Student1039,80,2.97,1
Student1040,116,2.46,0
Student1041,102,2.3,1
Student1042,121,3.77,0
Student1043,117,2.63,1
Student1044,138,3.14,1
Student1045,132,3.29,1
Student1046,88,2.05,1
Student1047,104,3.63,0
Student1048,106,2.37,0
Student1049,112,2.04,0
Student1050,147,2.77,0
Student1051,125,2.52,0
Student1052,135,3.05,1
Student1053,143,3.32,1
Student1054,86,2.43,1
Student1055,109,2.35,0
Student1056,92,3.48,0
Student1057,106,3.33,0
Student1058,93,2.53,0
Student1059,137,3.67,0
Student1060,146,3.56,0
Student1061,140,2.44,0
Student1062,114,3.85,1
Student1063,149,2.94,1
Student1064,128,2.72,0
Student1065,97,2.4,0
Student1066,101,3.53,1
Student1067,93,2.11,0
Student1068,100,2.48,0
Student1069,111,2.85,0
Student1070,115,3.3,1
Student1071,143,3.82,0
Student1072,120,2.05,1
Student1073,100,2.95,0
Student1074,96,3.3,0
Student1075,115,3.35,0
Student1076,84,2.24,0
Student1077,137,3.19,0
Student1078,83,2.38,0
Student1079,118,3.8,1
Student1080,107,2.07,1
Student1081,108,3.98,0
Student1082,149,2.25,1
Student1083,99,2.28,1
Student1084,142,3.15,1
Student1085,102,4.0,0
Student1086,94,2.35,1
Student1087,136,3.07,0
Student1088,117,3.12,1
Student1089,105,2.95,1
Student1090,140,3.18,0
Student1091,81,3.25,0
Student1092,86,2.08,0
Student1093,107,3.69,1
Student1094,140,2.85,1
Student1095,86,2.7,0
Student1096,84,3.05,0
Student1097,101,3.07,0
Student1098,129,2.51,1
Student1099,83,2.15,0
Student1100,107,2.3,1
Student1101,136,3.38,0
Student1102,81,3.97,0
Student1103,87,2.81,0
Student1104,118,2.27,0
Student1105,93,3.92,1
Student1106,103,3.51,1
Student1107,127,3.36,0
Student1108,129,2.46,0
Student1109,107,3.0,1
Student1110,128,2.96,1
Student1111,127,2.33,1
Student1112,147,3.27,1
Student1113,84,2.99,1
Student1114,125,3.22,1
Student1115,121,3.99,0
Student1116,144,2.11,1
Student1117,136,2.77,1
Student1118,96,2.51,1
Student1119,123,2.65,1
Student1120,133,3.95,1
Student1121,102,2.73,0
Student1122,102,3.05,0
Student1123,87,2.68,1
Student1124,94,3.37,1
Student1125,96,3.25,0
Student1126,142,3.64,1
Student1127,104,2.74,0
Student1128,148,3.93,0
Student1129,82,2.98,0
Student1130,80,3.84,1
Student1131,123,3.22,1
Student1132,141,3.24,0
Student1133,127,2.92,0
Student1134,144,3.68,1
Student1135,119,2.3,0
Student1136,110,2.0,0
Student1137,83,3.61,0
Student1138,89,3.48,0
Student1139,104,2.36,1
Student1140,149,3.49,0
Student1141,148,3.16,1
Student1142,100,2.4,0
Student1143,118,3.64,1
Student1144,87,2.04,1
Student1145,129,2.5,0
Student1146,108,3.68,0
Student1147,81,2.08,1
Student1148,131,2.36,1
Student1149,104,3.24,0
Student1150,145,3.81,1
